english,wylie,acip,tibetan_generated,pronunciation_generated,depth,occurrences,courses,refs,tier
not,min,MIN,མིན,min,5,10,C04 C05,C04:148 C04:194 C04:75 C05:102 C05:108 C05:109 C05:117 C05:241 C05:73 C05:76,"TENTATIVE (machine-matched, unreviewed)"
not,mi,MI,མི,mi,7,10,C03 C04 C05,C03:212 C03:244 C03:312 C03:356 C03:408 C03:448 C04:172 C04:184 C04:71 C05:120,"TENTATIVE (machine-matched, unreviewed)"
not,ma,MA,མ,ma,7,10,C03 C04 C05,C03:244 C03:304 C03:316 C03:332 C03:552 C04:152 C05:118 C05:318 C05:76 C05:91,"TENTATIVE (machine-matched, unreviewed)"
not,med,MED,མེད,me,7,5,C03 C04 C05,C03:300 C03:409 C03:443 C04:138 C05:138,"TENTATIVE (machine-matched, unreviewed)"
not,min pa,MIN PA,མིན་པ,minpa,5,4,C01 C03 C04 C05,C01:245 C03:383 C04:196 C05:116,"TENTATIVE (machine-matched, unreviewed)"
not,min,MIN,མིན,min,7,4,C03 C04 C05,C03:318 C04:57 C05:239 C05:54,"TENTATIVE (machine-matched, unreviewed)"
not,med pa,MED PA,མེད་པ,mepa,5,2,C01 C03,C01:28 C03:208,"TENTATIVE (machine-matched, unreviewed)"
not,ma yin,MA YIN,མ་ཡིན,mayin,5,2,C04 C05,C04:162 C05:241,"TENTATIVE (machine-matched, unreviewed)"
not,ma yin pa,MA YIN PA,མ་ཡིན་པ,mayinpa,5,2,C05,C05:104 C05:123,"TENTATIVE (machine-matched, unreviewed)"
not,nus,NUS,ནུས,nu,5,1,C01,C01:32,"TENTATIVE (machine-matched, unreviewed)"
not,bkag,BKAG,བཀག,kak,5,1,C03,C03:507,"TENTATIVE (machine-matched, unreviewed)"
not,med pas,MED PAS,མེད་པས,mepe,5,1,C05,C05:234,"TENTATIVE (machine-matched, unreviewed)"
not,ma yin par,MA YIN PAR,མ་ཡིན་པར,mayinpar,5,1,C03,C03:460,"TENTATIVE (machine-matched, unreviewed)"
not,min par,MIN PAR,མིན་པར,minpar,5,1,C01,C01:167,"TENTATIVE (machine-matched, unreviewed)"
not,ma dpyad par,MA DPYAD PAR,མ་དཔྱད་པར,machepar,5,1,C01,C01:382,"TENTATIVE (machine-matched, unreviewed)"
not,min pa'i,MIN PA'I,མིན་པའི,minpay,5,1,C01,C01:384,"TENTATIVE (machine-matched, unreviewed)"
not,min,MIN,མིན,min,6,1,C05,C05:212,"TENTATIVE (machine-matched, unreviewed)"
not,med,MED,མེད,me,6,1,C05,C05:300,"TENTATIVE (machine-matched, unreviewed)"
not,mni,,མནི,ni,7,1,C03,C03:212,"TENTATIVE (machine-matched, unreviewed)"
three,gsum,GSUM,གསུམ,sum,5,114,C01 C02 C03 C04 C05,C01:104 C01:107 C01:108 C01:109 C01:112 C01:124 C01:131 C01:132 C01:135 C01:139 C01:144 C01:162 C01:165 C01:172 C01:173 C01:198 C01:276 C01:31 C01:370 C01:378 C01:42 C01:437 C01:47 C01:48 C01:51 C01:52 C01:63 C01:66 C01:72 C01:74 C01:86 C02:26 C02:28 C02:30 C02:52 C02:63 C03:206 C03:336 C03:354 C03:402 C03:423 C03:435 C03:438 C03:456 C03:465 C03:471 C03:490 C03:497 C03:499 C03:502 C03:503 C03:519 C03:566 C04:117 C04:172 C04:175 C04:179 C04:34 C04:60 C05:105 C05:123 C05:126 C05:130 C05:140 C05:145 C05:149 C05:150 C05:158 C05:160 C05:166 C05:167 C05:171 C05:172 C05:191 C05:224 C05:253 C05:262 C05:263 C05:266 C05:267 C05:268 C05:270 C05:274 C05:279 C05:281 C05:284 C05:285 C05:286 C05:287 C05:288 C05:289 C05:294 C05:297 C05:308 C05:312 C05:313 C05:327 C05:328 C05:329 C05:330 C05:333 C05:335 C05:337 C05:338 C05:354 C05:356 C05:37 C05:38 C05:39 C05:47 C05:49 C05:51 C05:61 C05:93,"TENTATIVE (machine-matched, unreviewed)"
three,gsum,GSUM,གསུམ,sum,7,29,C01 C03 C04 C05,C01:46 C03:297 C03:300 C03:304 C03:305 C03:312 C03:337 C03:347 C03:356 C03:358 C03:369 C03:380 C03:384 C03:407 C03:455 C03:520 C03:594 C04:179 C05:139 C05:192 C05:243 C05:274 C05:289 C05:32 C05:338 C05:35 C05:79 C05:91 C05:93,"TENTATIVE (machine-matched, unreviewed)"
three,rnam gsum,RNAM GSUM,རྣམ་གསུམ,namsum,5,7,C01 C03,C01:104 C01:37 C01:63 C01:67 C01:74 C01:81 C03:495,"TENTATIVE (machine-matched, unreviewed)"
three,gsum po,GSUM PO,གསུམ་པོ,sumpo,5,6,C01 C05,C01:108 C01:68 C05:257 C05:288 C05:314 C05:360,"TENTATIVE (machine-matched, unreviewed)"
three,rnam pa gsum po,RNAM PA GSUM PO,རྣམ་པ་གསུམ་པོ,nampa sumpo,5,1,C01,C01:129,"TENTATIVE (machine-matched, unreviewed)"
three,rnam gsum,RNAM GSUM,རྣམ་གསུམ,namsum,7,1,C03,C03:516,"TENTATIVE (machine-matched, unreviewed)"
no,med,MED,མེད,me,5,42,C01 C03 C04 C05,C01:104 C01:177 C01:27 C03:415 C03:464 C03:484 C03:540 C04:102 C04:114 C04:115 C04:117 C04:120 C04:141 C04:157 C04:58 C05:172 C05:214 C05:215 C05:219 C05:220 C05:228 C05:234 C05:243 C05:244 C05:254 C05:260 C05:283 C05:288 C05:295 C05:299 C05:301 C05:306 C05:307 C05:308 C05:309 C05:327 C05:333 C05:343 C05:345 C05:349 C05:56 C05:70,"TENTATIVE (machine-matched, unreviewed)"
no,med,MED,མེད,me,7,17,C03 C04 C05,C03:309 C03:317 C03:387 C03:427 C03:435 C03:437 C03:448 C03:485 C04:127 C04:161 C04:49 C04:75 C05:186 C05:244 C05:293 C05:71 C05:85,"TENTATIVE (machine-matched, unreviewed)"
no,ma,MA,མ,ma,6,12,C01 C02 C05,C01:116 C01:129 C01:136 C01:137 C01:140 C01:26 C02:64 C05:169 C05:267 C05:274 C05:349 C05:351,"TENTATIVE (machine-matched, unreviewed)"
no,mi,MI,མི,mi,7,9,C03 C04 C05,C03:191 C03:308 C03:309 C03:324 C03:406 C04:121 C04:67 C04:69 C05:153,"TENTATIVE (machine-matched, unreviewed)"
no,mi,MI,མི,mi,6,8,C01 C03 C05,C01:115 C03:210 C05:173 C05:224 C05:270 C05:307 C05:314 C05:350,"TENTATIVE (machine-matched, unreviewed)"
no,mi,MI,མི,mi,5,6,C03 C04 C05,C03:438 C03:447 C04:159 C05:142 C05:198 C05:52,"TENTATIVE (machine-matched, unreviewed)"
no,ma,MA,མ,ma,7,4,C03 C04 C05,C03:323 C03:512 C04:101 C05:85,"TENTATIVE (machine-matched, unreviewed)"
no,med pa,MED PA,མེད་པ,mepa,5,3,C05,C05:202 C05:228 C05:62,"TENTATIVE (machine-matched, unreviewed)"
no,ma yin,MA YIN,མ་ཡིན,mayin,5,2,C04,C04:188 C04:190,"TENTATIVE (machine-matched, unreviewed)"
no,med par,MED PAR,མེད་པར,mepar,5,2,C01 C05,C01:116 C05:26,"TENTATIVE (machine-matched, unreviewed)"
no,min,MIN,མིན,min,5,2,C03 C05,C03:344 C05:25,"TENTATIVE (machine-matched, unreviewed)"
no,ma,MA,མ,ma,5,1,C04,C04:85,"TENTATIVE (machine-matched, unreviewed)"
no,min pa,MIN PA,མིན་པ,minpa,5,1,C02,C02:32,"TENTATIVE (machine-matched, unreviewed)"
no,med do,MED DO,མེད་དོ,medo,5,1,C01,C01:346,"TENTATIVE (machine-matched, unreviewed)"
no,yod ma yin,YOD MA YIN,ཡོད་མ་ཡིན,yu mayin,5,1,C01,C01:335,"TENTATIVE (machine-matched, unreviewed)"
mind,sems,SEMS,སེམས,sem,5,34,C01 C03 C04 C05,C01:169 C01:192 C01:57 C03:167 C03:171 C03:181 C03:185 C03:186 C03:212 C03:506 C03:507 C03:510 C03:511 C03:551 C03:594 C04:136 C04:153 C05:109 C05:111 C05:115 C05:116 C05:118 C05:127 C05:131 C05:214 C05:217 C05:218 C05:237 C05:240 C05:241 C05:291 C05:39 C05:55 C05:62,"TENTATIVE (machine-matched, unreviewed)"
mind,blo,BLO,བློ,lo,5,25,C01 C02 C03 C04 C05,C01:132 C01:140 C01:171 C01:174 C01:54 C01:67 C02:66 C02:67 C02:68 C03:431 C03:446 C03:477 C03:487 C03:568 C04:100 C04:114 C04:117 C04:138 C04:143 C04:144 C04:151 C04:152 C04:186 C05:247 C05:306,"TENTATIVE (machine-matched, unreviewed)"
mind,yid,YID,ཡིད,yi,5,9,C01 C04,C01:100 C01:136 C01:139 C01:178 C01:26 C04:115 C04:159 C04:162 C04:163,"TENTATIVE (machine-matched, unreviewed)"
mind,yid blo,YID BLO,ཡིད་བློ,yilo,5,7,C04,C04:142 C04:148 C04:152 C04:153 C04:159 C04:160 C04:161,"TENTATIVE (machine-matched, unreviewed)"
mind,rgyud,RGYUD,རྒྱུད,gyu,5,6,C02 C03,C02:64 C03:332 C03:333 C03:346 C03:516 C03:600,"TENTATIVE (machine-matched, unreviewed)"
mind,sems,SEMS,སེམས,sem,7,6,C03 C04 C05,C03:435 C04:171 C04:180 C05:102 C05:108 C05:308,"TENTATIVE (machine-matched, unreviewed)"
mind,rig pa,RIG PA,རིག་པ,rikpa,5,4,C03 C04,C03:414 C04:132 C04:164 C04:165,"TENTATIVE (machine-matched, unreviewed)"
mind,blo,BLO,བློ,lo,7,4,C03 C04 C05,C03:363 C03:376 C04:143 C05:209,"TENTATIVE (machine-matched, unreviewed)"
mind,yid,YID,ཡིད,yi,7,3,C04 C05,C04:158 C05:216 C05:219,"TENTATIVE (machine-matched, unreviewed)"
mind,rgyud,RGYUD,རྒྱུད,gyu,7,2,C03,C03:376 C03:384,"TENTATIVE (machine-matched, unreviewed)"
mind,bsam pa,BSAM PA,བསམ་པ,sampa,5,1,C01,C01:180,"TENTATIVE (machine-matched, unreviewed)"
mind,bsam,BSAM,བསམ,sam,5,1,C04,C04:86,"TENTATIVE (machine-matched, unreviewed)"
mind,shes pa,SHES PA,ཤེས་པ,shepa,5,1,C04,C04:70,"TENTATIVE (machine-matched, unreviewed)"
mind,sems pa,SEMS PA,སེམས་པ,sempa,5,1,C05,C05:103,"TENTATIVE (machine-matched, unreviewed)"
mind,rnam shes,RNAM SHES,རྣམ་ཤེས,namshe,5,1,C03,C03:447,"TENTATIVE (machine-matched, unreviewed)"
mind,yid blo rtog pa,YID BLO RTOG PA,ཡིད་བློ་རྟོག་པ,yilo tokpa,5,1,C04,C04:152,"TENTATIVE (machine-matched, unreviewed)"
mind,blo'i,BLO'I,བློའི,loy,5,1,C04,C04:146,"TENTATIVE (machine-matched, unreviewed)"
mind,yid yul,YID YUL,ཡིད་ཡུལ,yiyul,5,1,C01,C01:167,"TENTATIVE (machine-matched, unreviewed)"
mind,thugs,THUGS,ཐུགས,tuk,7,1,C03,C03:358,"TENTATIVE (machine-matched, unreviewed)"
mind,rig,RIG,རིག,rik,7,1,C04,C04:122,"TENTATIVE (machine-matched, unreviewed)"
of,kyi,,ཀྱི,kyi,6,30,C01 C02 C03 C05,C01:23 C02:28 C02:35 C02:36 C02:46 C02:49 C03:185 C03:189 C03:234 C03:241 C03:269 C03:271 C03:280 C03:282 C03:417 C03:425 C03:567 C05:106 C05:165 C05:172 C05:263 C05:271 C05:287 C05:296 C05:297 C05:305 C05:311 C05:333 C05:356 C05:357,"TENTATIVE (machine-matched, unreviewed)"
of,gi,,གི,gi,6,19,C02 C03 C05,C02:31 C02:33 C02:34 C02:41 C03:428 C03:455 C03:498 C05:106 C05:182 C05:191 C05:253 C05:263 C05:264 C05:287 C05:288 C05:293 C05:311 C05:353 C05:356,"TENTATIVE (machine-matched, unreviewed)"
of,'i,'I,འི,i,7,17,C03 C05,C03:193 C03:232 C03:233 C03:250 C03:251 C03:252 C03:253 C03:274 C03:279 C03:281 C03:351 C03:461 C03:465 C05:171 C05:213 C05:30 C05:309,"TENTATIVE (machine-matched, unreviewed)"
of,gyi,,གྱི,gyi,6,16,C02 C03 C05,C02:29 C02:30 C02:34 C02:57 C03:183 C03:214 C03:270 C03:283 C03:458 C03:462 C05:180 C05:208 C05:334 C05:340 C05:344 C05:350,"TENTATIVE (machine-matched, unreviewed)"
of,las,LAS,ལས,le,6,5,C05,C05:186 C05:187 C05:188 C05:189 C05:234,"TENTATIVE (machine-matched, unreviewed)"
of,'i,'I,འི,i,6,5,C02,C02:28 C02:37 C02:42 C02:43 C02:49,"TENTATIVE (machine-matched, unreviewed)"
of,kyis,,ཀྱིས,kyi,6,4,C02,C02:37 C02:39 C02:41 C02:60,"TENTATIVE (machine-matched, unreviewed)"
of,'i,'I,འི,i,5,3,C03,C03:170 C03:174 C03:178,"TENTATIVE (machine-matched, unreviewed)"
of,la,LA,ལ,la,6,3,C01 C02,C01:54 C02:29 C02:31,"TENTATIVE (machine-matched, unreviewed)"
of,kyi,,ཀྱི,kyi,7,2,C03,C03:284 C03:304,"TENTATIVE (machine-matched, unreviewed)"
of,gi,,གི,gi,7,2,C05,C05:209 C05:210,"TENTATIVE (machine-matched, unreviewed)"
of,yam me ba,YAM ME BA,ཡམ་མེ་བ,yammewa,5,1,C01,C01:151,"TENTATIVE (machine-matched, unreviewed)"
of,dang,,དང,dang,6,1,C05,C05:184,"TENTATIVE (machine-matched, unreviewed)"
of,gyis,GYIS,གྱིས,gyi,6,1,C05,C05:275,"TENTATIVE (machine-matched, unreviewed)"
never,mi,MI,མི,mi,6,23,C01 C02 C03 C05,C01:125 C01:146 C01:147 C01:151 C01:169 C01:187 C01:28 C01:30 C01:35 C01:36 C01:57 C01:89 C02:24 C02:64 C03:359 C03:417 C03:418 C03:432 C03:530 C05:203 C05:236 C05:244 C05:291,"TENTATIVE (machine-matched, unreviewed)"
never,ma,MA,མ,ma,6,20,C01 C03 C04 C05,C01:137 C01:146 C01:147 C01:156 C01:169 C01:176 C01:44 C01:49 C01:56 C01:57 C01:65 C01:80 C01:82 C01:83 C03:375 C04:187 C05:226 C05:228 C05:277 C05:345,"TENTATIVE (machine-matched, unreviewed)"
never,med,MED,མེད,me,5,10,C01 C03 C04 C05,C01:187 C03:439 C03:567 C03:574 C04:140 C05:228 C05:254 C05:255 C05:261 C05:62,"TENTATIVE (machine-matched, unreviewed)"
never,mi,MI,མི,mi,5,8,C03 C04,C03:434 C03:440 C03:474 C03:546 C03:555 C04:129 C04:140 C04:150,"TENTATIVE (machine-matched, unreviewed)"
never,mi,MI,མི,mi,7,8,C03 C04 C05,C03:346 C03:351 C03:379 C03:418 C03:435 C04:25 C04:26 C05:135,"TENTATIVE (machine-matched, unreviewed)"
never,ma,MA,མ,ma,5,6,C03 C04 C05,C03:557 C03:593 C04:186 C04:197 C04:198 C05:273,"TENTATIVE (machine-matched, unreviewed)"
never,nam yang,NAM YANG,ནམ་ཡང,nam yang,5,6,C01 C03 C05,C01:141 C01:180 C01:33 C03:499 C03:557 C05:154,"TENTATIVE (machine-matched, unreviewed)"
never,med pa,MED PA,མེད་པ,mepa,5,3,C03 C04,C03:356 C03:435 C04:188,"TENTATIVE (machine-matched, unreviewed)"
never,min,MIN,མིན,min,5,3,C04,C04:188 C04:190 C04:69,"TENTATIVE (machine-matched, unreviewed)"
never,ma,MA,མ,ma,7,3,C03,C03:305 C03:409 C03:444,"TENTATIVE (machine-matched, unreviewed)"
never,gtan nas mi,,གཏན་ནས་མི,ten ne mi,3,1,C05,C05:174,"TENTATIVE (machine-matched, unreviewed)"
never,ma yin,MA YIN,མ་ཡིན,mayin,5,1,C02,C02:64,"TENTATIVE (machine-matched, unreviewed)"
never,med par,MED PAR,མེད་པར,mepar,5,1,C04,C04:190,"TENTATIVE (machine-matched, unreviewed)"
never,sngar,SNGAR,སྔར,ngar,5,1,C01,C01:492,"TENTATIVE (machine-matched, unreviewed)"
never,srid pa,SRID PA,སྲིད་པ,sipa,5,1,C01,C01:83,"TENTATIVE (machine-matched, unreviewed)"
never,med pa'i,MED PA'I,མེད་པའི,mepay,5,1,C04,C04:189,"TENTATIVE (machine-matched, unreviewed)"
never,mi 'byung,MI 'BYUNG,མི་འབྱུང,minjung,5,1,C01,C01:223,"TENTATIVE (machine-matched, unreviewed)"
never,min pa,MIN PA,མིན་པ,minpa,5,1,C05,C05:204,"TENTATIVE (machine-matched, unreviewed)"
never,min par,MIN PAR,མིན་པར,minpar,5,1,C04,C04:189,"TENTATIVE (machine-matched, unreviewed)"
never,ma 'das,MA 'DAS,མ་འདས,mande,5,1,C03,C03:308,"TENTATIVE (machine-matched, unreviewed)"
never,mi 'gyur ro,MI 'GYUR RO,མི་འགྱུར་རོ,mingyur ro,5,1,C01,C01:410,"TENTATIVE (machine-matched, unreviewed)"
never,med,MED,མེད,me,7,1,C03,C03:378,"TENTATIVE (machine-matched, unreviewed)"
never,min,MIN,མིན,min,7,1,C03,C03:351,"TENTATIVE (machine-matched, unreviewed)"
from,las,LAS,ལས,le,6,73,C01 C02 C03 C04 C05,C01:346 C01:422 C01:51 C01:56 C01:80 C02:41 C02:43 C03:205 C03:392 C03:396 C03:456 C03:604 C03:605 C03:609 C04:103 C04:105 C04:107 C04:119 C04:122 C04:127 C04:138 C04:144 C04:147 C04:148 C04:150 C04:151 C04:153 C04:154 C04:155 C04:157 C04:196 C04:24 C04:38 C04:61 C04:63 C04:67 C04:70 C04:77 C04:79 C04:89 C04:95 C05:101 C05:118 C05:139 C05:141 C05:142 C05:144 C05:145 C05:151 C05:175 C05:190 C05:205 C05:207 C05:210 C05:214 C05:215 C05:221 C05:25 C05:27 C05:315 C05:325 C05:326 C05:327 C05:328 C05:329 C05:330 C05:331 C05:332 C05:333 C05:337 C05:342 C05:43 C05:95,"TENTATIVE (machine-matched, unreviewed)"
from,nas,NAS,ནས,ne,6,22,C01 C03 C04 C05,C01:359 C03:173 C03:176 C03:209 C03:299 C03:367 C03:394 C03:398 C03:423 C03:592 C04:136 C04:137 C04:169 C04:76 C05:158 C05:237 C05:24 C05:242 C05:25 C05:263 C05:268 C05:28,"TENTATIVE (machine-matched, unreviewed)"
from,dang,,དང,dang,6,3,C03,C03:315 C03:323 C03:387,"TENTATIVE (machine-matched, unreviewed)"
from,drung nas,DRUNG NAS,དྲུང་ནས,drung ne,5,1,C03,C03:339,"TENTATIVE (machine-matched, unreviewed)"
from,nas bzung,NAS BZUNG,ནས་བཟུང,nesung,5,1,C03,C03:210,"TENTATIVE (machine-matched, unreviewed)"
this,de,DE,དེ,de,5,33,C01 C02 C03 C04 C05,C01:48 C02:49 C03:422 C03:443 C03:593 C04:110 C04:148 C04:41 C04:54 C04:55 C04:56 C04:60 C04:68 C04:69 C04:74 C04:93 C05:114 C05:116 C05:143 C05:158 C05:208 C05:209 C05:210 C05:215 C05:228 C05:234 C05:241 C05:273 C05:275 C05:287 C05:31 C05:344 C05:345,"TENTATIVE (machine-matched, unreviewed)"
this,'di,'DI,འདི,di,5,24,C02 C03 C04 C05,C02:26 C03:170 C03:173 C03:176 C03:180 C03:331 C03:333 C03:334 C03:338 C03:346 C03:360 C03:435 C03:445 C03:484 C03:572 C03:575 C03:587 C03:611 C04:26 C04:99 C05:167 C05:230 C05:235 C05:35,"TENTATIVE (machine-matched, unreviewed)"
this,'di,'DI,འདི,di,7,8,C03 C04,C03:208 C03:394 C03:409 C03:425 C03:435 C03:444 C03:483 C04:85,"TENTATIVE (machine-matched, unreviewed)"
this,de ltar,DE LTAR,དེ་ལྟར,detar,5,3,C01 C03 C05,C01:89 C03:324 C05:226,"TENTATIVE (machine-matched, unreviewed)"
this,'di'i,'DI'I,འདིའི,diy,5,3,C03,C03:203 C03:443 C03:454,"TENTATIVE (machine-matched, unreviewed)"
this,de,DE,དེ,de,6,3,C01 C03 C04,C01:49 C03:568 C04:70,"TENTATIVE (machine-matched, unreviewed)"
this,der,DER,དེར,der,5,2,C04 C05,C04:94 C05:232,"TENTATIVE (machine-matched, unreviewed)"
this,'dis,'DIS,འདིས,di,5,2,C03,C03:174 C03:437,"TENTATIVE (machine-matched, unreviewed)"
this,'di,'DI,འདི,di,6,2,C01 C03,C01:46 C03:485,"TENTATIVE (machine-matched, unreviewed)"
this,'dir,'DIR,འདིར,dir,7,2,C03 C04,C03:426 C04:98,"TENTATIVE (machine-matched, unreviewed)"
this,'di'i,'DI'I,འདིའི,diy,7,2,C03,C03:340 C03:426,"TENTATIVE (machine-matched, unreviewed)"
this,de'i,DE'I,དེའི,dey,7,2,C03 C04,C03:312 C04:159,"TENTATIVE (machine-matched, unreviewed)"
this,de'i,DE'I,དེའི,dey,5,1,C03,C03:437,"TENTATIVE (machine-matched, unreviewed)"
this,da res,DA RES,ད་རེས,dare,5,1,C03,C03:444,"TENTATIVE (machine-matched, unreviewed)"
this,de lta bu'i,DE LTA BU'I,དེ་ལྟ་བུའི,detabuy,5,1,C03,C03:512,"TENTATIVE (machine-matched, unreviewed)"
this,'di yis,'DI YIS,འདི་ཡིས,di yi,5,1,C01,C01:421,"TENTATIVE (machine-matched, unreviewed)"
this,de lta'i,DE LTA'I,དེ་ལྟའི,detay,5,1,C03,C03:439,"TENTATIVE (machine-matched, unreviewed)"
this,'di la'ang,'DI LA'ANG,འདི་ལའང,dila,5,1,C03,C03:345,"TENTATIVE (machine-matched, unreviewed)"
this,yang,YANG,ཡང,yang,6,1,C01,C01:51,"TENTATIVE (machine-matched, unreviewed)"
this,'di'i,'DI'I,འདིའི,diy,6,1,C05,C05:89,"TENTATIVE (machine-matched, unreviewed)"
this,de,DE,དེ,de,7,1,C05,C05:309,"TENTATIVE (machine-matched, unreviewed)"
all,thams cad,THAMS CAD,ཐམས་ཅད,tamche,5,34,C01 C02 C03 C04 C05,C01:104 C01:107 C01:111 C01:116 C01:129 C01:132 C01:141 C01:149 C01:180 C01:183 C01:188 C01:216 C01:33 C01:417 C01:58 C01:63 C02:46 C03:163 C03:344 C03:436 C03:492 C03:501 C03:573 C04:126 C04:140 C04:150 C04:27 C04:44 C04:53 C05:243 C05:257 C05:288 C05:32 C05:346,"TENTATIVE (machine-matched, unreviewed)"
all,kun,KUN,ཀུན,kun,5,22,C01 C03 C04,C01:103 C01:104 C01:107 C01:114 C01:141 C01:163 C01:169 C01:216 C01:33 C01:80 C03:338 C03:352 C03:515 C03:517 C03:580 C03:592 C03:593 C04:124 C04:129 C04:141 C04:151 C04:157,"TENTATIVE (machine-matched, unreviewed)"
