course,wylie,acip,tibetan_generated,pronunciation_generated,english,occurrences_in_course,depth,tier
C01,thog mar,THOG MAR,ཐོག་མར,tokmar,first,7,5,"TENTATIVE (machine-matched, unreviewed)"
C01,'jam dbyangs,'JAM DBYANGS,འཇམ་དབྱངས,jamyang,Gentle Voice,6,5,"TENTATIVE (machine-matched, unreviewed)"
C01,'khor ba,'KHOR BA,འཁོར་བ,korwa,the cycle of life,6,5,"TENTATIVE (machine-matched, unreviewed)"
C01,blo,BLO,བློ,lo,mind,6,5,"TENTATIVE (machine-matched, unreviewed)"
C01,brgyad,BRGYAD,བརྒྱད,gye,eight,6,5,"TENTATIVE (machine-matched, unreviewed)"
C01,byang chub kyi sems,BYANG CHUB KYI SEMS,བྱང་ཆུབ་ཀྱི་སེམས,jangchub kyi sem,the wish to achieve enlightenment for every living being,6,5,"TENTATIVE (machine-matched, unreviewed)"
C01,bzhi,BZHI,བཞི,shi,four,6,5,"TENTATIVE (machine-matched, unreviewed)"
C01,chos,CHOS,ཆོས,chu,dharma,6,5,"TENTATIVE (machine-matched, unreviewed)"
C01,dgos,DGOS,དགོས,gu,should,6,5,"TENTATIVE (machine-matched, unreviewed)"
C01,klu sgrub,KLU SGRUB,ཀླུ་སྒྲུབ,ludrub,Nagarjuna,6,5,"TENTATIVE (machine-matched, unreviewed)"
C01,kyang,KYANG,ཀྱང,kyang,though,6,6,"TENTATIVE (machine-matched, unreviewed)"
C01,la,LA,ལ,la,to,6,6,"TENTATIVE (machine-matched, unreviewed)"
C01,lta bu,LTA BU,ལྟ་བུ,tabu,like,6,5,"TENTATIVE (machine-matched, unreviewed)"
C01,ma,MA,མ,ma,no,6,6,"TENTATIVE (machine-matched, unreviewed)"
C01,mi rtag pa,MI RTAG PA,མི་རྟག་པ,mitakpa,impermanence,6,5,"TENTATIVE (machine-matched, unreviewed)"
C01,rdo rje 'chang,RDO RJE 'CHANG,རྡོ་རྗེ་འཆང,doje chang,the Holder of the Diamond,6,5,"TENTATIVE (machine-matched, unreviewed)"
C01,rgyu,RGYU,རྒྱུ,gyu,cause,6,5,"TENTATIVE (machine-matched, unreviewed)"
C01,rnam gsum,RNAM GSUM,རྣམ་གསུམ,namsum,three,6,5,"TENTATIVE (machine-matched, unreviewed)"
C01,rnyed dka',RNYED DKA',རྙེད་དཀའ,nyeka,hard to find,6,5,"TENTATIVE (machine-matched, unreviewed)"
C01,sems can thams cad,SEMS CAN THAMS CAD,སེམས་ཅན་ཐམས་ཅད,semchen tamche,every living being,6,5,"TENTATIVE (machine-matched, unreviewed)"
C01,snying po,SNYING PO,སྙིང་པོ,nyingpo,essence,6,5,"TENTATIVE (machine-matched, unreviewed)"
C01,sogs,SOGS,སོགས,sok,and so on,6,6,"TENTATIVE (machine-matched, unreviewed)"
C01,srid pa,SRID PA,སྲིད་པ,sipa,life,6,5,"TENTATIVE (machine-matched, unreviewed)"
C01,tsam,TZAM,ཙམ,tsam,just,6,5,"TENTATIVE (machine-matched, unreviewed)"
C01,tshul,TSUL,ཚུལ,tsul,how,6,5,"TENTATIVE (machine-matched, unreviewed)"
C01,yang,YANG,ཡང,yang,even,6,6,"TENTATIVE (machine-matched, unreviewed)"
C01,yang dag pa,YANG DAG PA,ཡང་དག་པ,yangdakpa,correct,6,5,"TENTATIVE (machine-matched, unreviewed)"
C01,'dir,'DIR,འདིར,dir,here,5,6,"TENTATIVE (machine-matched, unreviewed)"
C01,dam pa,DAM PA,དམ་པ,dampa,holy,5,5,"TENTATIVE (machine-matched, unreviewed)"
C01,gnyis ka,GNYIS KA,གཉིས་ཀ,nyika,both,5,5,"TENTATIVE (machine-matched, unreviewed)"
C01,go ba,GO BA,གོ་བ,gowa,understanding,5,5,"TENTATIVE (machine-matched, unreviewed)"
C01,gtso bo,GTZO BO,གཙོ་བོ,tsowo,principal,5,5,"TENTATIVE (machine-matched, unreviewed)"
C01,gzhan,GZHAN,གཞན,shen,other,5,5,"TENTATIVE (machine-matched, unreviewed)"
C01,kyang,KYANG,ཀྱང,kyang,as well,5,6,"TENTATIVE (machine-matched, unreviewed)"
C01,kyang,KYANG,ཀྱང,kyang,but,5,6,"TENTATIVE (machine-matched, unreviewed)"
C01,las,LAS,ལས,le,from,5,6,"TENTATIVE (machine-matched, unreviewed)"
C01,lta ba,LTA BA,ལྟ་བ,tawa,correct view,5,5,"TENTATIVE (machine-matched, unreviewed)"
C01,lto,LTO,ལྟོ,to,food,5,5,"TENTATIVE (machine-matched, unreviewed)"
C01,phugs,PHUGS,ཕུགས,puk,ultimately,5,5,"TENTATIVE (machine-matched, unreviewed)"
C01,rten 'brel,RTEN 'BREL,རྟེན་འབྲེལ,tendrel,interdependent,5,5,"TENTATIVE (machine-matched, unreviewed)"
C01,sangs rgyas,SANGS RGYAS,སངས་རྒྱས,sangye,Buddhahood,5,5,"TENTATIVE (machine-matched, unreviewed)"
C01,sdug bsngal,SDUG BSNGAL,སྡུག་བསྔལ,dungel,the sufferings,5,5,"TENTATIVE (machine-matched, unreviewed)"
C01,sdug bsngal,SDUG BSNGAL,སྡུག་བསྔལ,dungel,suffer,5,5,"TENTATIVE (machine-matched, unreviewed)"
C01,shes rab,SHES RAB,ཤེས་རབ,sherab,the wisdom,5,5,"TENTATIVE (machine-matched, unreviewed)"
C01,skye ba,SKYE BA,སྐྱེ་བ,kyewa,develop,5,5,"TENTATIVE (machine-matched, unreviewed)"
C01,spyod 'jug,SPYOD 'JUG,སྤྱོད་འཇུག,chunjuk,The Bodhisattva's Life,5,5,"TENTATIVE (machine-matched, unreviewed)"
C01,stong pa,STONG PA,སྟོང་པ,tongpa,emptiness,5,5,"TENTATIVE (machine-matched, unreviewed)"
C01,theg chen,THEG CHEN,ཐེག་ཆེན,tekchen,the greater way,5,5,"TENTATIVE (machine-matched, unreviewed)"
C01,tshe,TSE,ཚེ,tse,life,5,5,"TENTATIVE (machine-matched, unreviewed)"
C01,tshe 'di,TSE 'DI,ཚེ་འདི,tsendi,this present life,5,5,"TENTATIVE (machine-matched, unreviewed)"
C01,tshig,TSIG,ཚིག,tsik,words,5,5,"TENTATIVE (machine-matched, unreviewed)"
C01,yang dag pa'i lta ba,YANG DAG PA'I LTA BA,ཡང་དག་པའི་ལྟ་བ,yangdakpay tawa,correct view,5,4,"TENTATIVE (machine-matched, unreviewed)"
C01,yid,YID,ཡིད,yi,mind,5,5,"TENTATIVE (machine-matched, unreviewed)"
C01,'chi ba,'CHI BA,འཆི་བ,chiwa,death,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,'jam pa'i dbyangs,'JAM PA'I DBYANGS,འཇམ་པའི་དབྱངས,jampay yang,Gentle Voice,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,'jig rten chos brgyad,'JIG RTEN CHOS BRGYAD,འཇིག་རྟེན་ཆོས་བརྒྱད,jikten chugye,the eight worldly thoughts,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,'khor ba,'KHOR BA,འཁོར་བ,korwa,circle of life,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,'khor ba,'KHOR BA,འཁོར་བ,korwa,the cycle,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,'khor ba,'KHOR BA,འཁོར་བ,korwa,of cyclic life,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,bdag,BDAG,བདག,dak,I,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,bskal pa,BSKAL PA,བསྐལ་པ,kelpa,eons,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,byang chub kyi sems,BYANG CHUB KYI SEMS,བྱང་ཆུབ་ཀྱི་སེམས,jangchub kyi sem,the wish for enlightenment,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,chen po,CHEN PO,ཆེན་པོ,chenpo,the great,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,dge,DGE,དགེ,ge,virtuous,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,dge bshes,DGE BSHES,དགེ་བཤེས,geshe,Geshe,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,dgos,DGOS,དགོས,gu,need,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,don yod,DON YOD,དོན་ཡོད,dunyu,meaningful,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,dper na,DPER NA,དཔེར་ན,per na,for example,4,6,"TENTATIVE (machine-matched, unreviewed)"
C01,gdul bya,GDUL BYA,གདུལ་བྱ,dulja,disciples,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,gnyis pa,GNYIS PA,གཉིས་པ,nyipa,second,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,gral,GRAL,གྲལ,drel,the ranks,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,gsungs,GSUNGS,གསུངས,sung,our Lama concluded,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,gsungs,GSUNGS,གསུངས,sung,concluded our Lama,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,gsungs,GSUNGS,གསུངས,sung,concluded our Lama,4,6,"TENTATIVE (machine-matched, unreviewed)"
C01,gtad pa,GTAD PA,གཏད་པ,tepa,Aiming,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,kho na,KHO NA,ཁོ་ན,ko na,only,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,khyer,KHYER,ཁྱེར,kyer,swept along,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,khyi,KHYI,ཁྱི,kyi,a dog,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,kyang,KYANG,ཀྱང,kyang,But,4,6,"TENTATIVE (machine-matched, unreviewed)"
C01,las 'bras,LAS 'BRAS,ལས་འབྲས,ledre,actions and their consequences,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,las 'bras,LAS 'BRAS,ལས་འབྲས,ledre,the principles of actions and their consequences,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,ldog,LDOG,ལྡོག,dok,stop,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,ltar,LTAR,ལྟར,tar,like,4,6,"TENTATIVE (machine-matched, unreviewed)"
C01,med par,MED PAR,མེད་པར,mepar,without,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,mid la,MID LA,མིད་ལ,mi la,Milarepa,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,myur du,MYUR DU,མྱུར་དུ,nyur du,quickly,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,nga,NGA,ང,nga,"""me""",4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,ngas,NGAS,ངས,nge,I,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,nus bzhin,NUS BZHIN,ནུས་བཞིན,nushin,am able,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,nyams len,NYAMS LEN,ཉམས་ལེན,nyamlen,practice,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,nyams su len bya,NYAMS SU LEN BYA,ཉམས་སུ་ལེན་བྱ,nyam-su lenja,practice,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,rang bzhin gyis,RANG BZHIN GYIS,རང་བཞིན་གྱིས,rangshin gyi,naturally,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,rdo rje,RDO RJE,རྡོ་རྗེ,doje,diamond,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,rgyal ba,RGYAL BA,རྒྱལ་བ,gyelwa,the victorious Buddhas,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,rgyal sras,RGYAL SRAS,རྒྱལ་སྲས,gyelse,sons,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,rgyu 'bras,RGYU 'BRAS,རྒྱུ་འབྲས,gyudre,cause and effect,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,rnam dag,RNAM DAG,རྣམ་དག,namdak,pure,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,rten 'byung,RTEN 'BYUNG,རྟེན་འབྱུང,tennjung,interdependence,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,rtogs pa,RTOGS PA,རྟོགས་པ,tokpa,to perceive,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,sangs rgyas,SANGS RGYAS,སངས་རྒྱས,sangye,Buddhas,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,sangs rgyas,SANGS RGYAS,སངས་རྒྱས,sangye,the Buddhas,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,sdig,SDIG,སྡིག,dik,non-virtuous,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,sdug bsngal,SDUG BSNGAL,སྡུག་བསྔལ,dungel,sufferings,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,sgo,SGO,སྒོ,go,door,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,skye,SKYE,སྐྱེ,kye,develop,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,sprang po,SPRANG PO,སྤྲང་པོ,trangpo,a beggar,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,srog,SROG,སྲོག,sok,life,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,thabs,THABS,ཐབས,tap,way,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,thams cad,THAMS CAD,ཐམས་ཅད,tamche,every,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,thams cad,THAMS CAD,ཐམས་ཅད,tamche,All,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,tshad ma,TSAD MA,ཚད་མ,tsema,a reasonable,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,tshogs pa,TSOGS PA,ཚོགས་པ,tsokpa,the collection,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,yon tan,YON TAN,ཡོན་ཏན,yunten,qualities,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,zas,ZAS,ཟས,se,food,4,5,"TENTATIVE (machine-matched, unreviewed)"
C01,'bad,'BAD,འབད,be,Make efforts,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,'dir,'DIR,འདིར,dir,Here,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,'jig rten,'JIG RTEN,འཇིག་རྟེན,jikten,the world,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,'jug ngogs,'JUG NGOGS,འཇུག་ངོགས,jungok,entry point,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,'khor ba,'KHOR BA,འཁོར་བ,korwa,cycle of life,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,'khor ba,'KHOR BA,འཁོར་བ,korwa,cycle,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,'khor ba,'KHOR BA,འཁོར་བ,korwa,cyclic life,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,bde,BDE,བདེ,de,pleasures,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,bde ba,BDE BA,བདེ་བ,dewa,happiness,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,bde ba,BDE BA,བདེ་བ,dewa,every happiness,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,bde myur,BDE MYUR,བདེ་མྱུར,denyur,Path of Bliss and Quick Path,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,bla ma,BLA MA,བླ་མ,lama,Lama,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,bla med,BLA MED,བླ་མེད,lame,matchless,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,bod,BOD,བོད,bu,Tibet,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,bral ba,BRAL BA,བྲལ་བ,drelwa,beyond,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,brkam pa,BRKAM PA,བརྐམ་པ,kampa,hankering,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,bsam pa,BSAM PA,བསམ་པ,sampa,contemplating,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,bshes gnyen,BSHES GNYEN,བཤེས་གཉེན,shenyen,spiritual guide,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,bskul ba,BSKUL BA,བསྐུལ་བ,kulwa,encouragement,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,bskyed,BSKYED,བསྐྱེད,kye,develop,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,bslu ba med pa,BSLU BA MED PA,བསླུ་བ་མེད་པ,luwa mepa,infallible,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,bstan,BSTAN,བསྟན,ten,contained in,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,bstan bcos,BSTAN BCOS,བསྟན་བཅོས,tenchu,the text,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,btsal,BTZAL,བཙལ,tsel,seek,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,bu,BU,བུ,bu,my son,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,byang sems,BYANG SEMS,བྱང་སེམས,jangsem,the wish for enlightenment,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,byed,BYED,བྱེད,je,doing,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,byed pa,BYED PA,བྱེད་པ,jepa,do,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,bzhi brgya pa,BZHI BRGYA PA,བཞི་བརྒྱ་པ,shigyapa,the 400 Verses,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,chags,CHAGS,ཆགས,chak,craving,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,chos,CHOS,ཆོས,chu,religion,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,chos,CHOS,ཆོས,chu,the teaching,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,dam bca' ba,DAM BCA' BA,དམ་བཅའ་བ,damchawa,pledge,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,des na,DES NA,དེས་ན,de na,Therefore,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,dgos pa,DGOS PA,དགོས་པ,gupa,should,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,dgra,DGRA,དགྲ,dra,enemies,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,dngos su,DNGOS SU,དངོས་སུ,ngu-su,directly,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,don,DON,དོན,dun,meaning,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,don du,DON DU,དོན་དུ,dun du,for the sake of,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,don gnyer,DON GNYER,དོན་གཉེར,dunnyer,striving,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,don gnyer,DON GNYER,དོན་གཉེར,dunnyer,achieving,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,dpal,DPAL,དཔལ,pel,glorious,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,dpyad pa,DPYAD PA,དཔྱད་པ,chepa,the analysis,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,dpyad sgom,DPYAD SGOM,དཔྱད་སྒོམ,chegom,analytical meditation,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,dvang ba,DVANG BA,,dvangwa,pure,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,gcig pu,GCIG PU,གཅིག་པུ,chikpu,single,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,gdags gzhi,GDAGS GZHI,གདགས་གཞི,dakshi,the basis,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,gnas lugs,GNAS LUGS,གནས་ལུགས,neluk,reality,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,go ba,GO BA,གོ་བ,gowa,ideas,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,grub pa,GRUB PA,གྲུབ་པ,druppa,exists,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,gsung rab,GSUNG RAB,གསུང་རབ,sungrab,high teachings,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,gsungs,GSUNGS,གསུངས,sung,said,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,gtan,GTAN,གཏན,ten,ultimate,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,gyis,GYIS,གྱིས,gyi,by,3,6,"TENTATIVE (machine-matched, unreviewed)"
C01,ji ltar,JI LTAR,ཇི་ལྟར,jitar,how,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,ji ltar,JI LTAR,ཇི་ལྟར,jitar,As far as,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,khas len,KHAS LEN,ཁས་ལེན,kelen,taking any position,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,khyi,KHYI,ཁྱི,kyi,dogs,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,kyang,KYANG,ཀྱང,kyang,but,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,lam gyi gtso bo rnam gsum,LAM GYI GTZO BO RNAM GSUM,ལམ་གྱི་གཙོ་བོ་རྣམ་གསུམ,lam gyi tsowo namsum,the three principal paths,3,4,"TENTATIVE (machine-matched, unreviewed)"
C01,lam gyi gtso bo rnam gsum,LAM GYI GTZO BO RNAM GSUM,ལམ་གྱི་གཙོ་བོ་རྣམ་གསུམ,lam gyi tsowo namsum,the three principal paths,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,lam rim,LAM RIM,ལམ་རིམ,lamrim,the Steps of the path,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,las,LAS,ལས,le,deeds,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,lnga,LNGA,ལྔ,nga,five,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,lta ba,LTA BA,ལྟ་བ,tawa,the view,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,lta bu,LTA BU,ལྟ་བུ,tabu,like,3,6,"TENTATIVE (machine-matched, unreviewed)"
C01,lus,LUS,ལུས,lu,body,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,lus can,LUS CAN,ལུས་ཅན,luchen,beings,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,lus dngos,LUS DNGOS,ལུས་དངོས,lungu,main body,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,ma rig pa,MA RIG PA,མ་རིག་པ,marikpa,ignorance,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,man chad,MAN CHAD,མན་ཆད,menche,on up to,3,6,"TENTATIVE (machine-matched, unreviewed)"
C01,mang po,MANG PO,མང་པོ,mangpo,many,3,5,"TENTATIVE (machine-matched, unreviewed)"
C01,mdo sngags,MDO SNGAGS,མདོ་སྔགས,dongak,open and secret,3,5,"TENTATIVE (machine-matched, unreviewed)"
