wylie,acip,tibetan_generated,pronunciation_generated,in_acip_index,english,kind,depth,occurrences,courses,n_courses,refs,first_ref,tier,rule,generated_columns,source_corpus,source_pages,generator,layer_date
"'chi ba sgom tshul dang , 'og nas 'byung ba'i skyabs 'gro las 'bras la sogs pa'i rnam gzhag rgyas pa ni byang chub lam gyi rim pa'i khrid las byung ba ltar shes dgos, gzhung 'dir ngan song gi sdug bsngal bsam pa dang , skyabs 'gro'i chos skor rnams tshig zin la dngos su ma gsungs kyang , shugs la bstan pa yin gsungs",,འཆི་བ་སྒོམ་ཚུལ་དང། འོག་ནས་འབྱུང་བའི་སྐྱབས་འགྲོ་ལས་འབྲས་ལ་སོགས་པའི་རྣམ་གཞག་རྒྱས་པ་ནི་བྱང་ཆུབ་ལམ་གྱི་རིམ་པའི་ཁྲིད་ལས་བྱུང་བ་ལྟར་ཤེས་དགོས། གཞུང་འདིར་ངན་སོང་གི་སྡུག་བསྔལ་བསམ་པ་དང། སྐྱབས་འགྲོའི་ཆོས་སྐོར་རྣམས་ཚིག་ཟིན་ལ་དངོས་སུ་མ་གསུངས་ཀྱང། ཤུགས་ལ་བསྟན་པ་ཡིན་གསུངས,"chiwa gomtsul dang ,ok ne jungway kyabdro le dre la sokpay namshak gyepa ni jangchub lam gyi rimpay tri le jungwa tarshe gushung dirngen song gi dungel sampa dang ,kyabdroy chukor nam tsiksin la ngu-su masung kyang ,shuk la tenpa yinsung",no,"At this point one should study the more detailed presentation of death meditation that appears in the standard works on the Steps of the path to Buddhahood. This applies as well to other topics following, such as how to go for refuge, and the teaching on actions and their consequences. Here in this text, concluded our Lama, the traditional contemplations on the sufferings of the lower births and the entire set of instructions about going for refuge are conveyed by implication, though not directly in the actual words of the verses.",translation,1,1,C01,1,C01:205,C01:205,"TENTATIVE (machine-matched, unreviewed)","English is HGM's corpus text verbatim, machine-MATCHED never composed; never enters hgm_gloss","tibetan_generated = generated-ewts-v27-1; pronunciation_generated = generated GMR-convention phonetics. Both computed from the wylie, not attested in the layer.",hgm_spine_v27_2 corpus_segments C01+C02+C03+C04+C05,"banked pages, 5 course(s) (sha256 5d828734142df0ff)",build_alignment_layer.py; source analyses credited on pages and in campaign ledgers,2026-09-14
"'chi ba'i 'og tu rnam shes mar me shi ba ltar med de mi 'gro bar skye ba zhig len dgos, skye sa de yang ngan 'gro dang bde 'gro gnyis yin, de gnyis gang du skye rang la rang dbang med par las kyi rjes su 'gro dgos pas dge bas bde 'gro dang mi dge bas ngan 'gror 'phen",,འཆི་བའི་འོག་ཏུ་རྣམ་ཤེས་མར་མེ་ཤི་བ་ལྟར་མེད་དེ་མི་འགྲོ་བར་སྐྱེ་བ་ཞིག་ལེན་དགོས། སྐྱེ་ས་དེ་ཡང་ངན་འགྲོ་དང་བདེ་འགྲོ་གཉིས་ཡིན། དེ་གཉིས་གང་དུ་སྐྱེ་རང་ལ་རང་དབང་མེད་པར་ལས་ཀྱི་རྗེས་སུ་འགྲོ་དགོས་པས་དགེ་བས་བདེ་འགྲོ་དང་མི་དགེ་བས་ངན་འགྲོར་འཕེན,chiway oktu namshe marme shiwa tarme de mindrowar kyewa shiklen gukye sa de yang ngenndro dang dendro nyiyin de nyigang du kyerang la rangwang mepar le kyi je-su drogupe gewe dendro dang migewe ngenndror pen,no,"After you die, your consciousness doesn't just go out like a lamp--you must take another birth. And there are only two kinds of birth you can take: one of the births of misery, or one of the happier births. As for which of the two you do take, you are totally helpless: you must follow the direction of your past actions. Virtuous actions throw you into one of the happier types of birth, and non-virtuous actions throw you into one of the three of misery.",translation,1,1,C01,1,C01:214,C01:214,"TENTATIVE (machine-matched, unreviewed)","English is HGM's corpus text verbatim, machine-MATCHED never composed; never enters hgm_gloss","tibetan_generated = generated-ewts-v27-1; pronunciation_generated = generated GMR-convention phonetics. Both computed from the wylie, not attested in the layer.",hgm_spine_v27_2 corpus_segments C01+C02+C03+C04+C05,"banked pages, 5 course(s) (sha256 5d828734142df0ff)",build_alignment_layer.py; source analyses credited on pages and in campaign ledgers,2026-09-14
'chi ba'i sdug bsngal,,འཆི་བའི་སྡུག་བསྔལ,chiway dungel,no,The Suffering of Dying v.,translation,1,1,C03,1,C03:253,C03:253,"TENTATIVE (machine-matched, unreviewed)","English is HGM's corpus text verbatim, machine-MATCHED never composed; never enters hgm_gloss","tibetan_generated = generated-ewts-v27-1; pronunciation_generated = generated GMR-convention phonetics. Both computed from the wylie, not attested in the layer.",hgm_spine_v27_2 corpus_segments C01+C02+C03+C04+C05,"banked pages, 5 course(s) (sha256 5d828734142df0ff)",build_alignment_layer.py; source analyses credited on pages and in campaign ledgers,2026-09-14
'chi ba'i tshe chos ma gtogs pa gang gis kyang mi phan pa bsam pa,,འཆི་བའི་ཚེ་ཆོས་མ་གཏོགས་པ་གང་གིས་ཀྱང་མི་ཕན་པ་བསམ་པ,chiway tsechu matokpa gang gi kyang mipenpa sampa,no,"Contemplating How, at Death, Nothing At All but Dharma Can Help Us ii.",translation,1,1,C03,1,C03:230,C03:230,"TENTATIVE (machine-matched, unreviewed)","English is HGM's corpus text verbatim, machine-MATCHED never composed; never enters hgm_gloss","tibetan_generated = generated-ewts-v27-1; pronunciation_generated = generated GMR-convention phonetics. Both computed from the wylie, not attested in the layer.",hgm_spine_v27_2 corpus_segments C01+C02+C03+C04+C05,"banked pages, 5 course(s) (sha256 5d828734142df0ff)",build_alignment_layer.py; source analyses credited on pages and in campaign ledgers,2026-09-14
'chi rkyen glo bur ba nad gdon bgegs rigs 'byung bzhi'i gnod pa sogs kyis tshe srog 'phrog pa la khyis glud la brngams pa ltar bskor nas bsdad yod cing,,འཆི་རྐྱེན་གློ་བུར་བ་ནད་གདོན་བགེགས་རིགས་འབྱུང་བཞིའི་གནོད་པ་སོགས་ཀྱིས་ཚེ་སྲོག་འཕྲོག་པ་ལ་ཁྱིས་གླུད་ལ་བརྔམས་པ་ལྟར་བསྐོར་ནས་བསྡད་ཡོད་ཅིང,chikyen loburwa nedun gekrik jungshiy nupa sok kyi tsesok trokpa la kyilu la ngampa tarkor ne deyu ching,no,"But that's not all--there are conditions all around me that can strike and kill me in an instant: things like illness and harmful spirits, sudden disasters, attacks upon me by the very four elements that make up my own body. They stand around me ready to snatch away my life, like a pack of dogs circling around a piece of fresh meat, lusting after it.47",translation,1,1,C03,1,C03:405,C03:405,"TENTATIVE (machine-matched, unreviewed)","English is HGM's corpus text verbatim, machine-MATCHED never composed; never enters hgm_gloss","tibetan_generated = generated-ewts-v27-1; pronunciation_generated = generated GMR-convention phonetics. Both computed from the wylie, not attested in the layer.",hgm_spine_v27_2 corpus_segments C01+C02+C03+C04+C05,"banked pages, 5 course(s) (sha256 5d828734142df0ff)",build_alignment_layer.py; source analyses credited on pages and in campaign ledgers,2026-09-14
'dan grva dge ming pa blo bzang rdo rjes ma sprel dbo zla'i mar gyi mkha' 'gro 'du ba'i dus bzang por yab gzhis lha klu dga' tshal ba'i pho brang du mjug grub par byas pa,,,dengrva gemingpa losang doje matrel wonday mar gyi kandro duway dusang poryab shihla luga tselway podrang du jukdruppar jepa,no,"This labor was accomplished by myself, whose ordination name is Lobsang Dorje, and who hails from the monastery called Den. The writing took place at Ganden Palace, located on the estate of the family of Hlalu. The final pages were completed on the auspicious day of the Meeting of the Angels, during the waning of the moon in the month of wo, in the year of the fire monkey [1956].117",translation,1,1,C03,1,C03:617,C03:617,"TENTATIVE (machine-matched, unreviewed)","English is HGM's corpus text verbatim, machine-MATCHED never composed; never enters hgm_gloss","tibetan_generated = generated-ewts-v27-1; pronunciation_generated = generated GMR-convention phonetics. Both computed from the wylie, not attested in the layer.",hgm_spine_v27_2 corpus_segments C01+C02+C03+C04+C05,"banked pages, 5 course(s) (sha256 5d828734142df0ff)",build_alignment_layer.py; source analyses credited on pages and in campaign ledgers,2026-09-14
"'di dag ni sgom rim bar pa'i dgongs pa ltar bshad pa ste, rgyas par ni nyan thos kyi sa las shes par bya'o, , de lta bu'i chos drug ni ting nge 'dzin bzang po gsar du skye ba dang skyes zin pa mi nyams par gnas pa dang gong nas gong du 'phel ba'i rgyu rkyen gyi gnad bsdus pa ste, khyad par du tshul khrims dag pa dang 'dod pa la nyes dmigs su blta ba dang mthun pa'i yul na gnas pa gtso bo yin no",,འདི་དག་ནི་སྒོམ་རིམ་བར་པའི་དགོངས་པ་ལྟར་བཤད་པ་སྟེ། རྒྱས་པར་ནི་ཉན་ཐོས་ཀྱི་ས་ལས་ཤེས་པར་བྱའོ། ། དེ་ལྟ་བུའི་ཆོས་དྲུག་ནི་ཏིང་ངེ་འཛིན་བཟང་པོ་གསར་དུ་སྐྱེ་བ་དང་སྐྱེས་ཟིན་པ་མི་ཉམས་པར་གནས་པ་དང་གོང་ནས་གོང་དུ་འཕེལ་བའི་རྒྱུ་རྐྱེན་གྱི་གནད་བསྡུས་པ་སྟེ། ཁྱད་པར་དུ་ཚུལ་ཁྲིམས་དག་པ་དང་འདོད་པ་ལ་ཉེས་དམིགས་སུ་བལྟ་བ་དང་མཐུན་པའི་ཡུལ་ན་གནས་པ་གཙོ་བོ་ཡིན་ནོ,"didak ni gomrimwar pay gongpa tarshepa tegyepar ni nyentu kyi sa le shepar ja, de tabuy chudruk ni tingnge dzinsangpo sar du kyewa dang kyesinpa minyampar nepa dang gong ne gong du pelway gyukyen gyi nedupa tekyepar du tsultrim dakpa dang dupa la nyemik sutawa dang tunpay yul na nepa tsowo yinno",no,"I have explained all these following the Stages of Meditation; for a more detailed presentation, you can refer to the Levels of Listeners. These six include in them all the essential points, all the causes and conditions you need to know to first develop good concentration; and to keep from losing it once you have developed it; and to bring it to an ever higher and higher state. The most important points here are that you keep your morality pure, and that you realize all the problems of desire, and that you stay in a place which is conducive to meditation.",translation,1,1,C03,1,C03:127,C03:127,"TENTATIVE (machine-matched, unreviewed)","English is HGM's corpus text verbatim, machine-MATCHED never composed; never enters hgm_gloss","tibetan_generated = generated-ewts-v27-1; pronunciation_generated = generated GMR-convention phonetics. Both computed from the wylie, not attested in the layer.",hgm_spine_v27_2 corpus_segments C01+C02+C03+C04+C05,"banked pages, 5 course(s) (sha256 5d828734142df0ff)",build_alignment_layer.py; source analyses credited on pages and in campaign ledgers,2026-09-14
"'di dag thams cad bde ba dang bde ba'i rgyu thams cad dang ldan na ci ma rung , ldan par gyur cig, ldan pa zhig nga rang gis byed, sems can thams cad sdug bsngal dang sdug bsngal gyi rgyu thams cad dang bral na ci ma rung , bral bar gyur cig,bral ba zhig nga rang gis byed snyam du yang yang bsgoms pas byams pa dang snying rje shugs can bskyed",,འདི་དག་ཐམས་ཅད་བདེ་བ་དང་བདེ་བའི་རྒྱུ་ཐམས་ཅད་དང་ལྡན་ན་ཅི་མ་རུང། ལྡན་པར་གྱུར་ཅིག། ལྡན་པ་ཞིག་ང་རང་གིས་བྱེད། སེམས་ཅན་ཐམས་ཅད་སྡུག་བསྔལ་དང་སྡུག་བསྔལ་གྱི་རྒྱུ་ཐམས་ཅད་དང་བྲལ་ན་ཅི་མ་རུང། བྲལ་བར་གྱུར་ཅིག། བྲལ་བ་ཞིག་ང་རང་གིས་བྱེད་སྙམ་དུ་ཡང་ཡང་བསྒོམས་པས་བྱམས་པ་དང་སྙིང་རྗེ་ཤུགས་ཅན་བསྐྱེད,"didak tamche dewa dang deway gyutam che dang den na chi marung ,ndenpar gyurchik denpa shinga rang gi jesem chentam cheduk ngel dang dungel gyi gyutam che dang drel na chi marung ,drelwar gyurchikwa shinga rang gi jenyam du yang yang gompe jampa dang nyingje shukchen kye",no,"""How good it would be if they could all find every happiness, and every cause of happiness. I wish they could. I'll see that they do."" ""How good it would be if they could all be free of every pain, and every cause of pain. I wish they could. I'll see that they do."" Let these two trains of thought run through your mind; meditate on them over and over again. Then you will come to feel the very strongest loving-kindness and compassion.",translation,1,1,C01,1,C01:303,C01:303,"TENTATIVE (machine-matched, unreviewed)","English is HGM's corpus text verbatim, machine-MATCHED never composed; never enters hgm_gloss","tibetan_generated = generated-ewts-v27-1; pronunciation_generated = generated GMR-convention phonetics. Both computed from the wylie, not attested in the layer.",hgm_spine_v27_2 corpus_segments C01+C02+C03+C04+C05,"banked pages, 5 course(s) (sha256 5d828734142df0ff)",build_alignment_layer.py; source analyses credited on pages and in campaign ledgers,2026-09-14
"'di dang gong du bshad pa rnams kyi dmigs rim dang , bdud rtsi 'beb sbyang bya tshul sogs man ngag gi gnad mang du yod pa rnams lam rim gyi dmar khrid rgyas pa'i skabs ltar shes dgos pa yod gsungs",,འདི་དང་གོང་དུ་བཤད་པ་རྣམས་ཀྱི་དམིགས་རིམ་དང། བདུད་རྩི་འབེབ་སྦྱང་བྱ་ཚུལ་སོགས་མན་ངག་གི་གནད་མང་དུ་ཡོད་པ་རྣམས་ལམ་རིམ་གྱི་དམར་ཁྲིད་རྒྱས་པའི་སྐབས་ལྟར་ཤེས་དགོས་པ་ཡོད་གསུངས,"di dang gong du shepa nam kyi mikrim dang ,du tsimbeb jangja tsulsok menngak gi nemang du yupa nam lamrim gyi martri gyepay kaptar shegupa yusung",no,"Our Lama noted lastly that for this and the preceding sections there were a good number of essential points covered in traditional advices: what visualizations to perform at each point, how to bring down a flow of nectar to purify oneself, and so on. He said that we should learn these by referring to descriptions found in the more detailed, practical presentations of the Steps of the path. XIV. A Prayer for Future Care",translation,1,1,C03,1,C03:572,C03:572,"TENTATIVE (machine-matched, unreviewed)","English is HGM's corpus text verbatim, machine-MATCHED never composed; never enters hgm_gloss","tibetan_generated = generated-ewts-v27-1; pronunciation_generated = generated GMR-convention phonetics. Both computed from the wylie, not attested in the layer.",hgm_spine_v27_2 corpus_segments C01+C02+C03+C04+C05,"banked pages, 5 course(s) (sha256 5d828734142df0ff)",build_alignment_layer.py; source analyses credited on pages and in campaign ledgers,2026-09-14
"'di dang phyi mar sku gnyis sgrub pa'i thabs, ,'phral dang yun gyi rgyu tshogs mi dman zhing , ,rang dang gzhan yang lam bzang bgrod pa'i mig,mkhas dang grub pa'i rjes su gtod na mdzes",,འདི་དང་ཕྱི་མར་སྐུ་གཉིས་སྒྲུབ་པའི་ཐབས། ། འཕྲལ་དང་ཡུན་གྱི་རྒྱུ་ཚོགས་མི་དམན་ཞིང། ། རང་དང་གཞན་ཡང་ལམ་བཟང་བགྲོད་པའི་མིག། མཁས་དང་གྲུབ་པའི་རྗེས་སུ་གཏོད་ན་མཛེས,"di dang chimar kunyi druppay tab,'phrel dang yun gyi gyutsok mimen shing, ,rang dang shen yang lamsang drupay mik dang druppay je-su tu na dze",no,"In this and my future lives may I never fail to collect More of the short and long-term causes which bring me both the bodies;200 May I win the beauty of eyes that guide myself and others too On the excellent paths, fixed upon the wise and adept ahead.",translation,1,1,C01,1,C01:477,C01:477,"TENTATIVE (machine-matched, unreviewed)","English is HGM's corpus text verbatim, machine-MATCHED never composed; never enters hgm_gloss","tibetan_generated = generated-ewts-v27-1; pronunciation_generated = generated GMR-convention phonetics. Both computed from the wylie, not attested in the layer.",hgm_spine_v27_2 corpus_segments C01+C02+C03+C04+C05,"banked pages, 5 course(s) (sha256 5d828734142df0ff)",build_alignment_layer.py; source analyses credited on pages and in campaign ledgers,2026-09-14
"'di gsum gyi nang nas kyang gtam 'di sdug shos yin te, mkhas pa dang btsun pa dang sgom chen phal che bas kyang lto la gyong bskur nas me tog bcud len dang rde'u bcud len tsam gyis 'tsho bar byed, gos la gyong bskur nas sdug tshal bem po gyon, sgal pa brag la sbyar, bug sgo 'dag sbyar byas te mtshams bsnyen sgrub la bzhugs kyang , sems kyi gting de nas lung pa'i mi kun gyis nga mtshams pa sgom chen bzang po zhig red zer du re ba'i gtam snyan grags 'dod",,འདི་གསུམ་གྱི་ནང་ནས་ཀྱང་གཏམ་འདི་སྡུག་ཤོས་ཡིན་ཏེ། མཁས་པ་དང་བཙུན་པ་དང་སྒོམ་ཆེན་ཕལ་ཆེ་བས་ཀྱང་ལྟོ་ལ་གྱོང་བསྐུར་ནས་མེ་ཏོག་བཅུད་ལེན་དང་རྡེའུ་བཅུད་ལེན་ཙམ་གྱིས་འཚོ་བར་བྱེད། གོས་ལ་གྱོང་བསྐུར་ནས་སྡུག་ཚལ་བེམ་པོ་གྱོན། སྒལ་པ་བྲག་ལ་སྦྱར། བུག་སྒོ་འདག་སྦྱར་བྱས་ཏེ་མཚམས་བསྙེན་སྒྲུབ་ལ་བཞུགས་ཀྱང། སེམས་ཀྱི་གཏིང་དེ་ནས་ལུང་པའི་མི་ཀུན་གྱིས་ང་མཚམས་པ་སྒོམ་ཆེན་བཟང་པོ་ཞིག་རེད་ཟེར་དུ་རེ་བའི་གཏམ་སྙན་གྲགས་འདོད,"disum gyi nang ne kyang tamndi dukshu yinte kepa dang tsunpa dang gomchen pelchewe kyang to la gyongkur ne metok chulen dang dechu len tsam gyi tsowar jegu la gyongkur ne duktsel bempo gyungelpa drak la jarbuk gondak jarje te tsamnyen drub la shuk kyang ,sem kyi ting de ne lungpay mikun gyi ngatsampa gomchen sangpo shikre ser du reway tamnyen drakndu",no,"The worst of the three by the way is Big Name. Sages, holy men, great meditators of the past--even we can say a majority of them--have been able to live without great food, keeping themselves alive on one of those mystical practices where all you eat is some tiny pills or the essence of a flower. And they've been able to live without great clothes too: they sit in deep retreat, wearing tattered robes covered with dirt--they glue their backs to the wall of a cave and seal the only entrance. But in the bottom of their hearts they still crave fame--the Big Name--and they dream that all the local people outside are talking about what a holy master meditator they are.",translation,1,1,C01,1,C01:163,C01:163,"TENTATIVE (machine-matched, unreviewed)","English is HGM's corpus text verbatim, machine-MATCHED never composed; never enters hgm_gloss","tibetan_generated = generated-ewts-v27-1; pronunciation_generated = generated GMR-convention phonetics. Both computed from the wylie, not attested in the layer.",hgm_spine_v27_2 corpus_segments C01+C02+C03+C04+C05,"banked pages, 5 course(s) (sha256 5d828734142df0ff)",build_alignment_layer.py; source analyses credited on pages and in campaign ledgers,2026-09-14
