# id	kind	status	proposer	created	wylie	value	field	evidence	approver	ruled	comment
pronunciation-2026-08-09-11	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	sgrub 'jug	drumjuk		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says drubjuk; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-12	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	sgrub 'jug gi gang zag	drumjuk gi gangsak		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says drubjuk gi gangsak; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-13	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	sgrub 'jug gi blo	drumjuk gi lo		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says drubjuk gi lo; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-14	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	thob 'gyur	tomgyur		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says topgyur; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-15	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	'thob 'gyur te	tomgyur te		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says tobgyur te; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-16	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	'thob 'dod kyi dad pa	tomdu kyi depa		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says tobdu kyi depa; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-17	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	'thob 'dod kyi 'dun pa	tomdu kyi dunpa		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says tobdu kyi dunpa; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-18	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	'thob 'dod pa'i dad pa	tomdupay depa		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says tobdupay depa; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-19	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	dag pa rab 'gyur	dakpa ramgyur		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says dakpa rabgyur; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-20	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	dag pa rab 'byams	dakpa ramjam		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says dakpa rabjam; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-21	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	tshe dang ldan pa rab 'byor	tse dang denpa ramjor		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says tse dang denpa rabjor; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-22	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	zhabs 'bur mi mngon	shambur mingun		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says shabbur mingun; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-23	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	rab 'jug	ramjuk		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says rabjuk; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-24	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	rab 'das nas	ramde ne		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says rabde ne; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-25	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	rab 'dul	ramdul		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says rabdul; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-26	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	rab 'byams	ramjam		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says rabjam; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-27	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	rab 'byams mkhas pa	ramjam kepa		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says rabjam kepa; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-28	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	rab 'byams pa	ramjampa		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says rabjampa; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-29	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	rab 'byor	ramjor		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says rabjor; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-30	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	rab 'bring tha	ramdring ta		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says rabdring ta; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-31	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	rab 'dzin	ramdzin		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says rabdzin; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-32	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	sems can rab 'dul	semchen ramdul		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says semchen rabdul; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-33	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	skyabs 'gro'i tshig	kyamdroy tsik		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kyabdroy tsik; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-34	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	skyes bu chung ngu dang thun mong ba'i skyabs 'gro	kyebu chungngu dang tunmongway kyamdro		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kyebu chungngu dang tunmongway kyabdro; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-35	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	skyes bu chen po dang thun mong ba'i skyabs 'gro	kyebu chenpo dang tunmongway kyamdro		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kyebu chenpo dang tunmongway kyabdro; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-36	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	skyes bu 'bring dang thun mong ba'i skyabs 'gro	kyebu dring dang tunmongway kyamdro		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kyebu dring dang tunmongway kyabdro; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-37	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	dbyibs 'dra ba'i	yimdraway		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says yibdraway; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-38	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	rab 'jug byed	ramjuk je		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says rabjuk je; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-39	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	bkab 'gebs pa	kamgeppa		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kabgeppa; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-40	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	skabs 'gar	kamgar		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kabgar; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-41	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	skabs 'di la	kamdi la		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kabdi la; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-42	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	skabs 'byed pa	kamjepa		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kabjepa; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-43	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	skyabs 'gro ba	kyamdrowa		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kyabdrowa; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-44	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	skyabs 'gro zhing	kyamdro shing		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kyabdro shing; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-45	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	skyabs 'gro yan lag drug pa	kyamdro yenlak drukpa		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kyabdro yenlak drukpa; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-46	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	skyabs 'gro sems bskyed dbang bzhi'i gdams pa	kyamdro semkye wangshiy dampa		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kyabdro semkye wangshiy dampa; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-47	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	khab 'dzin ma	kamdzin ma		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kabdzin ma; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-48	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	khob 'gebs pa	komgeppa		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kobgeppa; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-49	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	khyab 'gyur	kyamgyur		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kyabgyur; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-50	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	khyab 'gro	kyamdro		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kyabdro; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-51	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	khyab 'jug rkang	kyamjuk kang		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kyabjuk kang; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-52	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	khyab 'jug skyes	kyamjuk kye		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kyabjuk kye; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-53	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	khyab 'jug dga' ma	kyamjuk gama		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kyabjuk gama; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-54	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	khyab 'jug chung ma	kyamjuk chungma		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kyabjuk chungma; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-55	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	khyab 'jug gnas	kyamjuk ne		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kyabjuk ne; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-56	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	khyab 'jug gnon	kyamjuk nun		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kyabjuk nun; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-57	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	khyab 'jug byin	kyamjuk jin		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kyabjuk jin; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-58	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	khyab 'jug ma	kyamjuk ma		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kyabjuk ma; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-59	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	khyab 'jug shing rta	kyamjuk shingta		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kyabjuk shingta; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-60	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	grib 'grib pa	drimdrippa		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says dribdrippa; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-61	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	dgab 'gebs pa	gamgeppa		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says gabgeppa; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-62	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	bgab 'gebs pa	gamgeppa		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says gabgeppa; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-63	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	'grub 'gyur ba	drumgyurwa		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says drubgyurwa; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-64	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	sgrol ma dngos grub 'byung ma	drul mangu drumjung ma		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says drul mangu drupjung ma; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-65	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	chab 'bangs	chambang		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says chabbang; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-66	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	chos ldan rab 'byor	chunden ramjor		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says chunden rabjor; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-67	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	btab 'debs pa	tamdeppa		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says tabdeppa; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-68	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	stobs 'jig	tomjik		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says tobjik; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-69	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	thob 'debs pa	tomdeppa		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says topdeppa; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-70	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	thob 'dod	tomdu		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says topdu; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-71	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	gdab 'debs pa	damdeppa		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says dabdeppa; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-72	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	~~rdo rje'i snying po rab 'joms dpal	~~rdojey nyingpo ramjom pel		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says ~~rdojey nyingpo rabjom pel; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-73	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	mdangs dang ldan par rab 'gyur zhing	dang dang denpar ramgyur shing		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says dang dang denpar rabgyur shing; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-74	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	'dab 'bum	dambum		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says dabbum; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-75	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	nam mkha' rab 'byams khams kyi mthas gtugs pa	namka ramjam kam kyi tetukpa		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says namka rabjam kam kyi tetukpa; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-76	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	nor lha'i bu ste khyab 'jug gi ming	norhlay bu te kyamjuk gi ming		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says norhlay bu te kyabjuk gi ming; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-77	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	~~'i sgrub pa'i thabs dngos grub 'byung ba'i gter	~~'i druppay tabngu drumjungway ter		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says ~~'i druppay tabngu drupjungway ter; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-78	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	phab 'bebs pa	pambeppa		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says pabbeppa; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-79	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	phas rgol stobs 'joms phyogs glang zhabs	pegul tomjom choklang shap		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says pegul tobjom choklang shap; review sheet docs/PRENASAL_REGISTER.md			
