rank	corpus_freq	phonetic_gmr	wylie	hgm_gloss
74	957	tongpa	stong pa	emptiness; completely empty; empty; void; empty of any; devoid of having; absence; devoid; void of any kind of existence
75	939	yong-su	yongs su	very; any; final; completely; totality; in its totality; thoroughly; entire
76	932	druppa	grub pa	can; exist; gained; capable; proven; be established; constitutes; established; has; exists; existence; conclusion; prove
77	930	yu de	yod de	and yet there is,; yet they are--
78	928	chu kyi	chos kyi	authentic
79	901	jangchub sem	byang chub sems	the wish; the wish for enlightenment; bodhisattva; wish to attain enlightenment; wish for enlightenment
80	899	sherab	shes rab	wisdom
81	893	pungpo	phung po	heaps; pile; stack; the heaps; parts of the person; parts; parts of a person; heaps of a person; heaps or parts that mak
82	890	drup na	grub na	if they were to exist
83	882	laten ne	la brten nas	thereby; so much that; this causes; as the; which, when used as; depends upon; the basis of; due to; upon; based upon; b
84	874	go ne	sgo nas	through; by using; with; you use to; going through; that relate; you can use; named; start to engage in; utilizing; by; 
85	872	yinpar tel	yin par thal	do ... then ... ?; they are so; do so; is this then ... ?; are ... saying then that ... belong ... ?; do they then belon
86	872	shepa	zhes pa	It also says
87	870	sumpa	gsum pa	third part; third; three; thirdly; the third; third point; the third section; the third point; third time; third step; t
88	859	drowa	'gro ba	living being(s)
89	853	di la	'di la	concerning this point,; in this regard; our; the present; here; on this point; this; it's; whether; in reference to; in 
90	824	gyurpa	gyur pa	will be; began; has been; become; becomes; becoming; are actually; entering the womb; reaches; are; that which is; serve
91	816	yunten	yon tan	important personal attainment; happiness?; good qualities; wonderful qualities; good quality; fine spiritual qualities; 
92	811	rabjor	rab 'byor	subhuti
93	803	tawa	lta ba	view; correct view (when yang dag pa'i lta ba)
94	792	dangpo ni	dang po ni	here is a description of the first; the first of them; one may begin with; one may begin,; by way of introduction; we tr
95	785	la yang	la yang	as well; as for; it is true; then; even; still; by no less than; although; even just to; also; and
96	780	duma	du ma	many; a great many; a whole variety; very many; great many; great many ways; multiple; many ... many; many kinds of; man
97	771	deta	de lta	relating; this way; this
98	751	yupar	yod par	is; has; there are; have been; to exist; did have; it would be; as; possesses
99	741	yin la	yin la	these are represented; in that there are; which is; confirms; so they are
100	740	jangsem	byang sems	bodhisattva; the wish for enlightenment; bodhisattvas; the bodhisattva vows; wish; a bodhisattva; wish for enlightenment
101	739	lekpar	legs par	very carefully; thoroughly; well; clearly; in an excellent way; careful; to take care of; the way they should; true; wit
102	727	madrup na	ma grub na	if you disagree; if you say it is not; suppose now you disagree
103	717	di ni	'di ni	these; this
104	714	tunmong	thun mong	shared; the ones that are shared; which is shared; collective
105	707	nyong	myong	experience; experiencing; experienced; undergo; does feel; feels; experiences; result; feel
106	706	shung	gzhung	three principal paths
107	701	dakpar	dag par	in an excellent way
108	698	dzinpa	'dzin pa	hold to; holding; take; bringing; grasp; keep; tendency of looking; perceives; idea; concept; tendency to view; focuses 
109	696	tonpa	ston pa	the Teacher
110	691	yenlak	yan lag	necessary components; qualities; ancillary; secondary; components; branches; the branches; part; parts; limbs; various e
111	690	raptu	rab tu	perfectly; strong; perfect; fully; ultimate; ultimate way
112	685	sunam	bsod nams	merit; good deeds; goodness (prayer register)
113	681	nupa	nus pa	capacity?; able; would be able; the power; power; ability; could; force; possible; can; be able to; capable; capacity; b
114	680	kachik	kha cig	some people have said that; a number of; different; others; some people; some; certain; other; someone; suppose someone 
115	679	dun du	don du	to; so i could help; for the sake; to hear; for the sake of; for the purpose; for the purpose of; for the goal that; wit
116	677	de le	de las	this is what's happening; from this; of it; than that of; out of it; these can happen; from; from those; in a way differ
117	676	gel te	gal te	sutra that viradatta requested
118	667	mingyur	mi 'gyur	it could never be referred to; will never; impossible; not occur; can't; could never; never reaches an end; no way
119	664	mitak	mi rtag	impermanence; changing; change
120	659	minu	mi nus	unable; not enable; could never; there's no way; am unable; impossible
121	655	je-su	rjes su	follows; after; continue
122	655	tanye	tha snyad	conventional; the conventional
123	652	tabuy	lta bu'i	look of a; like; 's
124	650	yin na	yin na	if there were; if it were; if; if something were; in this case then; which is; if that's; if something is; suppose
125	648	chiktu	gcig tu	a single; only as one; one and the same; exclusively; as one thing; single
126	646	nyi du	nyid du	same; yourself
127	639	rimpa	rim pa	steps; the order; the steps; step; order; one after the other; stages; practices; respective; respectively
128	635	deshin du	de bzhin du	then must also be; the case is similar for; compared to; just so; the same process; in this same; is the same; in additi
129	633	mayinpa	ma yin pa	is not; they are not; are not; never would be; it is not; were not; neither is; don't; not being; without; do not; somet
130	629	wang gi	dbang gis	out of; due to; by; stems from; because of the force; by the force; by force of; means; through the power of; by virtue 
131	628	shejawa	zhes bya ba	what happens
132	626	dushe	'du shes	images; think; conceive; ideas; conception; thoughts; distinctions; conceiving; conceptualize; discriminate; discriminat
133	604	bumpa	bum pa	vase; water pitcher
134	594	le kyang	las kyang	of all; on this point; in turn; comes too from; than; which states:; includes the lines:; from; beyond all else; also sa
135	592	yangdakpar	yang dag par	right; in an excellent way; properly; pure and correct; purely; perfectly; pure; fully
136	591	dakme	bdag med	no-self; lack of a self; no self-nature
137	589	nyi kyi	gnyis kyi	both
138	589	shekpa	gshegs pa	to pass on; leave; gone; going
139	588	kundzob	kun rdzob	deceptively; deceptive reality; deceptive; deceptive type; deceptive truth; the deceptive; deceptive object; deception; 
140	581	gewa	dge ba	goodness; goodness of a deed
141	576	parul	pha rol	other persons; other people; another person; others; other person; life beyond; the next; other; another
142	576	tade	tha dad	separate; different; differing; distinctions; another; distinctly separate
143	575	dey chir	de'i phyir	therefore; thus; as such; this is why; this being the case,; for this reason; for; because; because it is; and so; becau
144	574	deko na	de kho na	thusness; suchness; nature
145	572	usel	'od gsal	clear light
146	568	mayinpar	ma yin par	is not; isn't ... not; without their existence having; without its existence having
147	565	sungso	gsungs so	presented.
148	558	mikpa	dmigs pa	focussing; observe; object; focused; look; perceives; tendency to focus; focus; see; things focused upon; perception; fo
149	558	jetsun	rje btsun	holy; the holy one [maitreya]; maitreya
150	556	tongnyi	stong nyid	emptiness
151	551	dey tse	de'i tshe	during this period; these first; at this point; at this stage; at this particular point; at this particular moment; in s
152	550	jungwa	byung ba	committed; to do the action; developing; taken; commit; arrived; sprang forth; occur; offspring; gave; come out; because
153	549	jedrak	bye brag	distinguished; different; particulars; particular case ... particular reference; some particular; detailed; detailists; 
154	546	ngepar	nges par	definitely; absolutely; absolute certainty; certainly; ascertains correctly; necessarily true; must beyond doubt; true; 
155	544	korlo	'khor lo	all around; wheel; wheel ... wheel; turning of the wheel; dharma; world
156	544	bar du	bar du	during the interim; interim; up to; over a; on up to; between; down to; for the length of; up until; over a period; unti
157	543	lejung	las byung	brought about by; comes from
158	542	damtsik	dam tshig	pledges and vows
159	542	dangchepa	dang bcas pa	and; with; serve as his attendants; includes; along with; come with; 's; possess ... have ... are; from the point of vie
160	542	ngunpar	mngon par	firmly; reach
161	540	gangshik	gang zhig	a person; first of all; secondly; something; who ... who; who; how; what; where; anything; various; things; at all; one;
162	537	ngowo nyi	ngo bo nyid	nature; essence; own nature; natures; nature of its own; self-nature; such nature; quality; things which have any nature
163	534	dangdrel	dang bral	be free of any; be free o; to be torn away from; lost; devoid; without; freed from; free of
164	533	nyingpo	snying po	essence
165	531	dak gi	bdag gi	my; your; myself; my-self's; mine; possession; one's
166	525	nyika	gnyis ka	both; both of us; two; simultaneous; the two; neither; both ... together; both situations; both ... at the same time; bo
167	525	chakgya	phyag rgya	gesture
168	524	de dang	de dang	this; this being; this is; does moreover
169	523	deko na nyi	de kho na nyid	suchness; thusness; themselves; ultimate way; true suchness; very nature
170	523	natsok	sna tshogs	kind; various; various kinds; great variety of different; all different kinds; different types; whole variety; different
171	522	sulwa	gsol ba	appeal; asking; respectfully says
172	522	gyutsen	rgyu mtshan	reasons; reason; because; fact; the fact; logic; reason why; rationale; why; implication; specific reason; reasoning; re
173	518	jangchub sempa	byang chub sems dpa'	bodhisattva; the bodhisattvas; bodhisattvas; "bodhisattva."
174	517	wangpo	dbang po	powers; the powers; power; power ... power ... power; intellectual abilities; intellectual capacity; intellect; king; lo
175	516	dangndenpa	dang ldan pa	come to have; has; person who possesses; has been able to; comes to have; you feel; apply; comes to possess; capacity; t
176	515	je ne	byas nas	could have; did; establish; had done; come to; which takes; in which case; takes; taking; take; do; by taking; to attain
177	511	teng du	steng du	on top; along in; above; upon; standing; on; about; at all; acting as a basis; any case
178	510	gyurway	'gyur ba'i	to arise
179	510	tsema	tshad ma	valid perception; authoritative; valid; authentic; logic; correct methods of perception; valid form of perception; total
180	508	daknyi	bdag nyid	the person himself; combination; itself; nature; anything; very same; themselves; identity; integral part; his
181	508	deshin shekpa	de bzhin gshegs pa	one thus gone; those who have gone that way; one gone thus; ones thus gone; buddha
182	507	chung	cung	small
183	504	uma	dbu ma	middle way; middle-way school; middle way school; madhyamika; middle-way
184	502	tsung	mtshungs	equally; parallel; we could just as well; same; the same; the same thing; just the same; the same as; would be just the 
185	502	ngama	snga ma	before; former; the former method; first reference; what we have just been talking about; earlier; last; previous; above
186	500	tongpa-nyi	stong pa nyid	emptiness
187	493	nyipa ni	gnyis pa ni	next
188	493	tsultrim	tshul khrims	morality; the morality; the morality ... the morality ... the morality; vows; practice of morality; moralities; the prac
189	490	sem kyi	sems kyi	thoughts
190	487	tsokpa	tshogs pa	together; be present together; sum; combination; total; collection; the whole of; composite; come together; various; com
191	486	denpar	bden par	exist truly; true existence; in truth; truly; has some true existence; exist in truth; true; really; real
192	481	loppun	slob dpon	master; the master; the present master [shantideva]; masters
193	476	du-su	dus su	when; at the time; during his time; during the days; time; right times; in the time; at this point; in; time's; timely
194	474	denpa	bden pa	truth; true; exist in truth; true existence; truths; existed in truth; the truths; reality; true thing; real; existed tr
195	474	gang gi	gang gi	e whose; who has; whose; one whose; as what; your; what; which; which of
196	472	de nam	de rnams	the different varieties; such a person; these; them
197	471	dangpo la	dang po la	the first of them consists; in the first; first; the first of these has; the former treats; here is the first; here is t
198	469	tsawa	rtsa ba	root; very root; roots; the very root; principles; very roots; core; store; very foundation; original; original statemen
199	467	semkye	sems bskyed	the Wish; the wish for enlightenment
200	465	shen du	gzhan du	back to the cycle
201	464	ngunsum	mngon sum	directly; see with our own eyes; direct perception; direct; directly perceives
202	461	namshe	rnam shes	consciousness
203	460	smrawa	smra ba	talking; professing; something they said; those who assert; those who profess; teacher; speak; masters of the dharma; sc
204	459	chu nam	chos rnams	what; all ... things that exist; all things; thing; objects; all ... existing objects; things; every existing thing; all
205	459	de de	de de	this
206	458	dampa	dam pa	holy; highest; a holy lama; ultimate; actual; best; matchless
207	457	sungpa tar	gsungs pa ltar	as they are described; are thus described; as found; where they say; thus described
208	456	chungse	cung zad	slightly; has; very smallest; slightest bit; minor; least; brief; some; smallest thing
209	454	nang du	nang du	in; among; into; within; on
210	453	shen yang	gzhan yang	appearance prevents the existence
211	452	per na	dper na	present life
212	446	user	'od zer	ray of light
213	446	ngudrup	dngos grub	pray
214	446	toppa	thob pa	attain; those who have received; to achieve; achieve; complete; have found; achieved; possess; holds; reaching; attainin
215	443	chewa	che ba	inordinate; greatness; great; most prevalent; very; more; size; more important; advanced; larger; most; greater; strong;
216	438	chirul	phyi rol	non-buddhist; outer; external objects; external; outside; outer object; outer objects
217	436	jukpa	'jug pa	get; action; entered; go on; forced; come through; enter; entering; to pass; going into; guide; led; engage; engages; go
218	434	pe na	pas na	because
219	432	gyelpo	rgyal po	king; lord; buddha; kings; emperor
220	431	longchu	longs spyod	possessions; partake; belongings; things they use; property; wealth; material wealth; enjoyments; wealth of material thi
221	431	tar na	ltar na	according to; and then; according; suppose you say it's; even if; can be
222	431	rinpo che	rin po che	precious
223	430	le kyi	las kyi	karmic
224	429	nyangen	mya ngan	grief; state of grief; all grief; distress; feelings of distress; emotions of grief; feelings of grief
225	429	yupay chir	yod pa'i phyir	because there are; we get; since there are; because there does exist; for there does exist
226	427	wang du	dbang du	provides; power; with respect to
227	427	gang la	gang la	for whom; what provides; who; anyone who; what; where is; that ... as; what was; refers to anything which; on what; the 
228	423	tenpay	bstan pa'i	called; where it mentions; demonstrating
229	421	nare	na re	claim; claims that; states that; might come and say; make another claim:; claims; makes the claim that; makes a counterc
230	421	semchen tamche	sems can thams cad	every living being; all living kind; all living creatures; each and every living being; every being; every single living
231	420	kechik	skad cig	moment; moment ... moment; instant; instants; moments; immediately
232	419	geway	dge ba'i	virtuous
233	419	nang gi	nang gi	in; inner; those of the; within; that are parts of their bodies
234	419	rangnyi	rang nyid	yourself; you; him; itself; himself; personal; own nature; one's own
235	416	chen du	can du	with
236	415	gangrung	gang rung	any one or combination; either one; someone; any one or combination of; either; any; or the other; some one; some one of
237	407	gangyin	gang yin	when; whether; what it is; who is it; who is it that; what are ... ?; is it that ... is it that ... ?; what does it mean
238	406	gang yang	gang yang	any; somehow
239	406	dzepa	mdzad pa	written; instituted; composed; establish; perform; does; is being directed to; made; described; refer; makes; has; reach
240	406	na ni	na ni	all
241	406	kyewar	skye bar	growth
242	402	didak	'di dag	these; those living here; the; this; these particular; such and such; they
243	402	sabun	sa bon	seeds; the seed; the seeds; seed; mental seed
244	401	shipa	bzhi pa	third and fourth
245	401	chutam che	chos thams cad	every object which exists; all existing objects; every existing object; every single object which exists; anything; all 
246	401	namka	nam mkha'	sky; space; empty space
247	398	gyur te	'gyur te	would amount to
248	396	rangshin gyi drup	rang bzhin gyis grub	nature of their own; had some nature of their own
249	393	dangndra	dang 'dra	similar; like; similar to
250	393	ngu-su	dngos su	directly; explicitly; the; directly speaking; do; in a direct way; actually; real
251	392	dzokpar	rdzogs par	actually; definitively; total; in its entirety; entirely
252	392	kab-su	skabs su	when; for one thing; in the context; section; here; in the section; days
253	390	selwar	gsal bar	illumined; illuminated; clearly; distinctly; clarity
254	389	dundampar	don dam par	ultimately; in an ultimate way
255	389	treng	phreng	string
256	387	du na	'dod na	accept; if you are interested; if you resolve; if you try to agree; if so; suppose you agree; you agree?; if you should 
257	386	mirung	mi rung	wrong; would be improper; could not; could never be; could never even; something wrong; improper; totally wrong
258	384	kyepar chen	khyad par can	extraordinary; so full of spiritual leisure; more extraordinary; exceptional; very special; a sine qua non; advanced; pa
259	384	ting-ngen-dzin	ting nge 'dzin	concentration; meditative concentration; single-pointed concentration; single- pointed concentration; single-pointed med
260	380	tsowo	gtso bo	principal; main; primarily; major; primary; primal one; most; principal tenet; core; mainly; main point; main thing
261	380	kyebu	skyes bu	people; a person; person; being; practitioners; birth
262	379	dupay	'dod pa'i	vessel of the world; who seeks to; who held
263	378	milam	rmi lam	dream; dreams
264	377	ngepa	nges pa	only; no more and no less; knowledge; absolute certainty; certain; a true understanding; must be; certainty; truly sure;
265	377	gyu la	rgyud la	in their mind; in the stream of his mind; think to; in the mental continuum; mental stream
266	377	ser na	zer na	suppose ... comes and makes the following claim; might make the following claim:; might claim:; comes and makes the foll
267	376	rang la	rang la	to you; me; to us; my
268	372	barja	bar bya	affliction is what keeps
269	371	tendrel	rten 'brel	interdependence; dependent origination (contextual)
270	370	dedak gi	de dag gi	their; these; of them; on the outer side of them; of each of these
271	370	me na	med na	without; have no; if it were the case that ... did not exist; if there were no examples ... that existed; if it were not
272	370	sosor	so sor	each; separate; individually; each one their separate; individual; which comes from the individual; one by one
273	370	tsam du	tsam du	the size of; only; very; alone
274	367	leshen	las gzhan	more than; other than; somewhere else than
275	366	hlenkye	lhan skyes	innate; innate form; natural
276	366	nyewar	nye bar	standing close by; close by
277	365	je na	byas na	you commit this when; and then; suppose now; as; if
278	362	gelwa	'gal ba	against; exclusive of one another; contradict; cannot coexist; completely inconsistent; contradiction; mutually exclusiv
279	362	manam	ma rnams	mothers; your mothers
280	359	jangchub kyi sem	byang chub kyi sems	the wish for enlightenment; the wish
281	359	kyappa	khyab pa	element of necessity; always; necessarily; unquestionable conclusions; must always; necessarily belongs; belongs; must; 
282	356	chir te	phyir te	for
283	355	menngak	man ngag	instruction; personal instruction
284	354	tsam gyi	tsam gyis	by itself; mere act of
285	352	dikpa	sdig pa	wrong; the bad deeds; bad deed; bad deeds; wrong deeds; negative; scorpions; wrong deed; non-virtuous
286	350	konchok	dkon mchog	jewels; three jewels; jewel; gems
287	350	mangpo	mang po	plenty; many; many different; so many; a great number; continual; many ... many; great; great many; lots; a number of
288	349	toppar	thob par	achieve
289	348	gongpa	dgongs pa	thought (honorific)
290	348	yu na	yod na	if there were; if there is; if something exists; if it were; if they did; be; if something displays; once something exis
291	347	gangdak	gang dag	who; that; those who; anyone; which; these different; of the various
292	347	dzokrim	rdzogs rim	good karma
293	346	drenpa	dran pa	concentrating; recollection; mindfulness; awareness; remember; remembering; memory; recall; think; remembers
294	343	rikpa	rig pa	the awareness; awareness; understand; line of reasoning; one's awareness; know; subject-oriented; perception; mind; stat
295	343	nelnjor ma	rnal 'byor ma	contained are advices granted
296	342	dakpa	dag pa	excellent; pure; clear; purity; total accuracy; purify
297	342	marik	ma rig	ignorance
298	341	nyingje	snying rje	compassion
299	339	dring	'bring	medium; moderately; middle-order; medium scope; "medium."; less
300	339	nyi-su	gnyis su	have two different; dichotomy; both
301	337	parul tu	pha rol tu	perfection of wisdom
302	337	rere	re re	every single; every kind; every; every one; each; any particular; each one; one; each for every one; individually; any o
303	336	korway	'khor ba'i	in this cycle of suffering
304	336	lane	la gnas	staying at; staying in; maintain; keeping
305	336	tamche la	thams cad la	of all; in every case; every; all other; all; at all ... at all; ever; every single
306	335	lende	las 'das	beyond
307	335	ne de	nas de	finally
308	335	yupe	yod pas	he mus; with; isn't
309	334	gawa	dga' ba	gladness; being attracted; joyful; like; feeling of gladness; bliss; pleasure; the feeling of bliss; enjoy; happiness
310	334	rang gi tsennyi	rang gi mtshan nyid	exist by definition; definition; definitive characteristics of their own; by definition; nature of existing by definitio
311	332	ngang	ngang	what's happening to them
312	331	kupa	bkod pa	put; including; saying
313	328	mase	ma zad	not just; much less; as well; and that's not all; not only; not only to end; aside; not the only
314	327	lu kyi	lus kyi	should position ones body
315	327	rik kyi	rigs kyi	divided into
316	327	munlam	smon lam	prayer
317	326	dertel	der thal	sound; and this really is the case; this too is a fact; is correct; this certainly is; it is so correct; is also quite t
318	323	malu	ma lus	individual analysis and which
319	322	drelpa	'grel pa	commentarie; commentaries; commentary; the commentary
320	322	makye	ma skyes	not grown; never grow; never taken birth
321	321	nga-gyel	nga rgyal	pride; egotism
322	320	gelong	dge slong	buddhist monk; full monk; monk; monks; full monks
323	320	mang du	mang du	many; more than enough; great variety; great many; more
324	319	top kyi	stobs kyis	by virtue; by; force of; because of
325	318	migu	mi dgos	not necessary; it is not necessary; no need; it is not necessary that; not necessarily; need not; is not the case; neith
326	318	rangshin me	rang bzhin med	nothing has any nature of its own; has no nature of its own; have no nature of their own; have no nature; no nature of i
327	317	jita	ji lta	nature
328	317	gyuma	sgyu ma	illusions; illusion; illusory; magical illusions; illusion created by some magic; magical illusion; magician function; m
329	313	o na	'o na	then; one may begin; now; is it then possible; according to you then; what about; well then; if that's the case; just; w
330	312	takpa	btags pa	nominally; imposed; imposed upon; projected; concept; projections; so-called; project; constructs; applied ... applied; 
331	312	wangkur	dbang bskur	throne
332	312	kelen	khas len	accept; asserted; espouses; accepts; agree; accepting
333	312	mige	mi dge	bad deeds; bad; non-virtues; non-virtuous; non-virtuous deeds; non-virtue; non- virtue
334	311	karpo	dkar po	white; clear
335	308	samten	bsam gtan	meditation; the practice of meditation; concentration; concentration level; concentrations; concentration leve; level; l
336	308	parul tuchin	pha rol tu phyin	perfection of wisdom
337	307	jupa	brjod pa	to say something; call; address; stating; discussing; saying; tell; declares; expound; called; telling; indicate
338	307	mayin te	ma yin te	it is not; not; is not; are not; it doesn't
339	307	mija	mi bya	do not; have no; should not; is not; rather than; should never; neither should
340	307	chaktsel	phyag 'tshal	to bow; I bow
341	305	la na	bla na	something higher ... something higher; above; higher; something higher
342	305	kuntu	kun tu	both; again and again
343	305	mirik	mi rigs	could never be right; mistaken; could never be; incorrect; improper; wrong; mistake; it is incorrect
344	304	ngun du	mngon du	actualized
345	303	bume	bud med	opposite sex; woman; woman's body; women; female
346	303	chinpa	phyin pa	reach; has reached; reaching; to end up
347	302	jikten gyi	'jig rten gyi	worldly; of the world
348	301	mayinpar tel	ma yin par thal	are they then not; isn't it though not true that; isn't it not the case that
349	301	gyatso	rgya mtsho	the ocean; ocean; sea; seas; the sea; the water these seas hold in them; salt sea
350	298	de yi	de yi	lastly
351	296	mitakpa	mi rtag pa	impermanence; impermanent things; changing; impermanent; changing thing; and which is changing; changes
352	296	ngunsum du	mngon sum du	directly; common knowledge; in a direct manner; in a manner direct; direct
353	295	yige	yi ge	letters; document written
354	294	ditar	'di ltar	:; thus; this is how it works; how this works ... is the following; the point is that; so; this
355	294	tsobor	gtso bor	primarily; primary form; chiefly; main thing; primary
356	293	chepay	bcas pa'i	possess
357	293	penyun	phan yon	the benefits; benefit; benefits; great benefits; fine qualities
358	292	kadok	kha dog	color; hues; colors; color)
359	292	matok	ma gtogs	all but; not included; nothing
360	291	du kyi	dus kyi	during the time; at the time; during
361	290	hlenchik	lhan cig	together; contributing; together with
362	289	dechok	bde mchog	Highest Bliss
363	288	draway	'dra ba'i	like; so much like; the kinds of
364	288	lame	bla med	higher than any other; matchless
